epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,36.1681,1.39242,3.58671,1.4113,0.00272,0.81481,0.19546,0.16546,0.72863,3.7022,1.19125,6e-05,6e-05,6e-05
2,69.8355,0.93052,3.10624,1.17342,0.00321,0.96296,0.43091,0.40534,0.54555,3.43715,0.92661,0.000137228,0.000137228,0.000137228
3,98.1049,0.84886,2.88043,1.08171,0.00333,1,0.50388,0.46036,0.49725,3.24799,0.84464,0.000211288,0.000211288,0.000211288
4,133.227,0.76772,2.14119,1.01596,1,0.07301,0.72868,0.61937,0.5145,3.00667,0.84476,0.00028218,0.00028218,0.00028218
5,164.888,0.67651,1.67973,0.93013,1,0.41346,0.90334,0.73213,0.5845,2.8232,0.86134,0.000349904,0.000349904,0.000349904
